,Podnaslov,Glavni naslov,Prvi paragraf,Datum objave vijesti
19,Saopćenje ViK-a,Veliki broj sarajevskih ulica od 22 sata u četvrtak do jutarnjih sati u petak neće imati vodu,"Sarajevsko preduzeće Vodovod i kanalizacija (ViK) će od 22 sata 21. septembra (četvrtak) do jutarnjih sati 22. septembra (petak) vršiti sanaciju glavnog distributivnog cjevovoda u Alipašinoj ulici, zbog čega će se prekid u vodosnabdijevanju desiti u više ulica.",19.09.2023. u 17:51
20,Komunalne usluge,"Sarajevski ViK objasnio zašto je voda ponekad bijela, žuta, narandžasta ili smeđa","U sarajevskom preduzeću Vodovod i kanalizacija (ViK) objasnili su zbog čega je voda ponekad bijela ili ostavlja bijele tragove te zbog čega se dešava da bude žuta, narandžasta ili smeđa.",13.09.2023. u 12:03
21,Više je uzroka,Oglasili se iz vodovoda nakon poplave na Barama: Ulažemo maksimalne napore da se kvar sanira,Ekipe KJKP Vodovod i kanalizacija Sarajevo (ViK) još uvijek su u ulici Alipašina gdje rade na sanaciji kvara na glavnom distributivnom cjevovodu koji je danas prouzročio izljevanje vode na saobraćajnicu.,07.09.2023. u 23:12
22,Na ulazu u Sarajevo,"Haos na Barama: Glavna vodovodna cijev pukla usljed radova, saobraćajnica pod vodom","Radovi koje danas vrše radnici KJKP ""Vodovod i kanalizacija"" d.o.o. Sarajevo na popravci glavnog distributivnog cjevovoda u ulici Alipašina očigledno ne idu onako kako je planirano.",07.09.2023. u 16:13
23,Radnici ViK-a na terenu,"Veće područje Sarajeva danas bez vode, popravlja se kvar koji je bio prisutan duže vrijeme",U toku su opsežni radovi na popravci kvara na glavnom distributivnom cjevovodu u ulici Alipašina u Sarajevu.,07.09.2023. u 15:02
24,Rekonstrukcija cjevovoda,Veliki broj ulica u Sarajevu sutra bez vode: Radovi će trajati cijeli dan,"Iz KJKP Vodovod i kanalizacija Sarajevo (ViK), su najavili opsežne radove na popravci glavnog distributivnog cjevovoda u ulici Alipašina za u četvrtak, 7. septembra, sa početkom u 9 sati.",06.09.2023. u 22:08
25,Radovi u Alipašinoj ulici,Zbog popravke glavnog distributivnog cjevovoda veći broj sarajevskih naselja sutra neće imati vodu,"Zbog popravke kvara na glavnom distributivnom cjevovodu u sarajevskoj Alipašinoj ulici, kod Opelovog servisa, sutra veći broj naselja neće imati vodu.",06.09.2023. u 15:00
26,Drugi dio radova,"Sarajevo: Na Ilidži počela rekonstrukcija vodovodne mreže, osigurano više od 3 miliona KM","KJKP ""Vodovod i kanalizacija"" obavještava građane Kantona Sarajevo da su danas započeli radovi na drugoj sekciji rekonstrukcije vodovodne mreže.",22.08.2023. u 14:15
27,Nadležnost Cesta FBiH,Općina Stari Grad: Oštećenje na Putu Mladih Muslimana je uzrok izlivanja fekalija u ulici Bakarevića,"Zbog problema podzemnih voda u ulici Bakarevića koje izbiju na površinu nakon kiše i za sobom ostave fekalije koje mještanima stvaraju ogromne probleme i poteškoće, reagovali su iz Općine Stari Grad i pojasnili koji je uzrok problema te su ujedno i pozvali nadležne da obave svoj dio posla.",16.08.2023. u 15:54
28,Sarajevo,"Velika količina vode na raskrsnici kod RTV doma, otežan saobraćaj","Na raskrsnici glavne gradske saobraćajnice u Sarajevu, kod RTV doma, nalazi se velika količina vode zbog čega je otežan saobraćaj.",15.08.2023. u 19:24
